candidate_id,chemicalComposition,surfaceComposition,facet,sites,candidate_key,is_novel,formula,surface,normalized_facet,site,pred_dG_H,pred_dG_H_sigma,abs_pred_dG_H,model,feature_mode,cv_mae_eV,cv_rmse_eV,cv_r2,n_train_samples,n_features
"C8Ga9|MoB2-Ru-B01|001|{""H"": ""site3""}",C8Ga9,MoB2-Ru-B01,1,"{""H"": ""site3""}","C8Ga9|MoB2-Ru-B01|001|{""H"": ""site3""}",True,C8Ga9,MoB2-Ru-B01,001,site3,0.008444092214161848,0.6753628260016412,0.008444092214161848,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,0.2597755987060739,0.4751750932464166,0.47161655211507225,9481,220
"BPdZn2|MoB2-Fe-B01|001|{""H"": ""site5""}",BPdZn2,MoB2-Fe-B01,1,"{""H"": ""site5""}","BPdZn2|MoB2-Fe-B01|001|{""H"": ""site5""}",True,BPdZn2,MoB2-Fe-B01,001,site5,0.02066747963004567,0.5655733889942048,0.02066747963004567,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,0.2597755987060739,0.4751750932464166,0.47161655211507225,9481,220
"Pb10Pt11|HgIn|101|{""H"": ""top-tilt|B""}",Pb10Pt11,HgIn,101,"{""H"": ""top-tilt|B""}","Pb10Pt11|HgIn|101|{""H"": ""top-tilt|B""}",True,Pb10Pt11,HgIn,101,top-tilt|B,0.05893368305537269,0.392035554131926,0.05893368305537269,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,0.2597755987060739,0.4751750932464166,0.47161655211507225,9481,220
"B10Zn7|Au3Ru|111|{""H"": ""hollow|A_A_B|HCP""}",B10Zn7,Au3Ru,111,"{""H"": ""hollow|A_A_B|HCP""}","B10Zn7|Au3Ru|111|{""H"": ""hollow|A_A_B|HCP""}",True,B10Zn7,Au3Ru,111,hollow|A_A_B|HCP,-0.060085904487055954,0.5798063600593312,0.060085904487055954,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,0.2597755987060739,0.4751750932464166,0.47161655211507225,9481,220
"B5Mo2|In3Zn|111|{""H"": ""hollow|A_A_A|FCC""}",B5Mo2,In3Zn,111,"{""H"": ""hollow|A_A_A|FCC""}","B5Mo2|In3Zn|111|{""H"": ""hollow|A_A_A|FCC""}",True,B5Mo2,In3Zn,111,hollow|A_A_A|FCC,-0.08038320503688345,0.5169542956654242,0.08038320503688345,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,0.2597755987060739,0.4751750932464166,0.47161655211507225,9481,220
"BInMoSn|Re3Ta|111|{""H"": ""hollow|A_A_A|FCC""}",BInMoSn,Re3Ta,111,"{""H"": ""hollow|A_A_A|FCC""}","BInMoSn|Re3Ta|111|{""H"": ""hollow|A_A_A|FCC""}",True,BInMoSn,Re3Ta,111,hollow|A_A_A|FCC,-0.09256939406588546,0.6782706197735817,0.09256939406588546,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,0.2597755987060739,0.4751750932464166,0.47161655211507225,9481,220
"B17Mo7|MoB2-Nb-B00|001|{""H"": ""site4""}",B17Mo7,MoB2-Nb-B00,1,"{""H"": ""site4""}","B17Mo7|MoB2-Nb-B00|001|{""H"": ""site4""}",True,B17Mo7,MoB2-Nb-B00,001,site4,-0.09775260686097655,0.5330096245604515,0.09775260686097655,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,0.2597755987060739,0.4751750932464166,0.47161655211507225,9481,220
"B6Ga|NbV|101|{""H"": ""hollow|A_B_B|HCP""}",B6Ga,NbV,101,"{""H"": ""hollow|A_B_B|HCP""}","B6Ga|NbV|101|{""H"": ""hollow|A_B_B|HCP""}",True,B6Ga,NbV,101,hollow|A_B_B|HCP,-0.09853679715908518,0.6855415628783769,0.09853679715908518,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,0.2597755987060739,0.4751750932464166,0.47161655211507225,9481,220
"BCoReZn|PtSn|101|{""H"": ""top|A""}",BCoReZn,PtSn,101,"{""H"": ""top|A""}","BCoReZn|PtSn|101|{""H"": ""top|A""}",True,BCoReZn,PtSn,101,top|A,0.09872317427722109,0.39585564794018313,0.09872317427722109,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,0.2597755987060739,0.4751750932464166,0.47161655211507225,9481,220
"B9C5Cr4H3|CuGa|101|{""H"": ""bridge|A_A|B""}",B9C5Cr4H3,CuGa,101,"{""H"": ""bridge|A_A|B""}","B9C5Cr4H3|CuGa|101|{""H"": ""bridge|A_A|B""}",True,B9C5Cr4H3,CuGa,101,bridge|A_A|B,-0.10654337688172921,0.752234358144185,0.10654337688172921,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,0.2597755987060739,0.4751750932464166,0.47161655211507225,9481,220
"B2HTi|Zn3Pb|111|{""H"": ""hollow|A_A_A|FCC""}",B2HTi,Zn3Pb,111,"{""H"": ""hollow|A_A_A|FCC""}","B2HTi|Zn3Pb|111|{""H"": ""hollow|A_A_A|FCC""}",True,B2HTi,Zn3Pb,111,hollow|A_A_A|FCC,-0.10959459337036334,0.7075024254457309,0.10959459337036334,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,0.2597755987060739,0.4751750932464166,0.47161655211507225,9481,220
"InMoSnW|Ga3Al|111|{""H"": ""hollow|A_A_A|FCC""}",InMoSnW,Ga3Al,111,"{""H"": ""hollow|A_A_A|FCC""}","InMoSnW|Ga3Al|111|{""H"": ""hollow|A_A_A|FCC""}",True,InMoSnW,Ga3Al,111,hollow|A_A_A|FCC,0.12048597678703989,0.6726476727692996,0.12048597678703989,ExtraTrees,matminer_magpie_plus_handcrafted_surface_site,0.2597755987060739,0.4751750932464166,0.47161655211507225,9481,220
